rawName,canonicalName,confidenceScore,resolutionMethod
01-ai,01-ai,100.0,PASSTHROUGH
0din-ai,0din-ai,100.0,PASSTHROUGH
0x4m4,0x4m4,100.0,PASSTHROUGH
0xK3vin,0xK3vin,100.0,PASSTHROUGH
0xPlaygrounds,0xPlaygrounds,100.0,PASSTHROUGH
0xranx,0xranx,100.0,PASSTHROUGH
0xsline,0xsline,100.0,PASSTHROUGH
1337-Artificial-Intelligence,1337-Artificial-Intelligence,100.0,PASSTHROUGH
19PINE-AI,19PINE-AI,100.0,PASSTHROUGH
1jehuang,1jehuang,100.0,PASSTHROUGH
238SAMIxD,238SAMIxD,100.0,PASSTHROUGH
24kchengYe,24kchengYe,100.0,PASSTHROUGH
2CentsCapital,2CentsCapital,100.0,PASSTHROUGH
302ai,302ai,100.0,PASSTHROUGH
360CVGroup,360CVGroup,100.0,PASSTHROUGH
403errors,403errors,100.0,PASSTHROUGH
416rehman,416rehman,100.0,PASSTHROUGH
4thfever,4thfever,100.0,PASSTHROUGH
53AI,53AI,100.0,PASSTHROUGH
599yongyang,599yongyang,100.0,PASSTHROUGH
9tigerio,9tigerio,100.0,PASSTHROUGH
A2-ai,A2-ai,100.0,PASSTHROUGH
AAswordman,AAswordman,100.0,PASSTHROUGH
AFC-AI2C,AFC-AI2C,100.0,PASSTHROUGH
AI-Core,AI-Core,100.0,PASSTHROUGH
AI-Engineer-Foundation,AI-Engineer-Foundation,100.0,PASSTHROUGH
AI-Engineer-Skool,AI-Engineer-Skool,100.0,PASSTHROUGH
AI-Engineering-Platform,AI-Engineering-Platform,100.0,PASSTHROUGH
AI-FOR-DEVS,AI-FOR-DEVS,100.0,PASSTHROUGH
AI-FREE-Team,AI-FREE-Team,100.0,PASSTHROUGH
AI-Hobbyist,AI-Hobbyist,100.0,PASSTHROUGH
AI-Hypercomputer,AI-Hypercomputer,100.0,PASSTHROUGH
AI-Infra-Team,AI-Infra-Team,100.0,PASSTHROUGH
AI-Maker-Space,AI-Maker-Space,100.0,PASSTHROUGH
AI-Planning,AI-Planning,100.0,PASSTHROUGH
AI-Protocol-Official,AI-Protocol-Official,100.0,PASSTHROUGH
AI-QL,AI-QL,100.0,PASSTHROUGH
AI-READI,AI-READI,100.0,PASSTHROUGH
AI-SW-Maestro-OSS,AI-SW-Maestro-OSS,100.0,PASSTHROUGH
AI-Training-Projects,AI-Training-Projects,100.0,PASSTHROUGH
AI-secure,AI-secure,100.0,PASSTHROUGH
AI21Labs,AI21Labs,100.0,PASSTHROUGH
AI45Lab,AI45Lab,100.0,PASSTHROUGH
AI4Bharat,AI4Bharat,100.0,PASSTHROUGH
AI4EPS,AI4EPS,100.0,PASSTHROUGH
AI4Finance-Foundation,AI4Finance-Foundation,100.0,PASSTHROUGH
AI4quantum,AI4quantum,100.0,PASSTHROUGH
AIArabicProjects,AIArabicProjects,100.0,PASSTHROUGH
AIBabyTeaching,AIBabyTeaching,100.0,PASSTHROUGH
AIBauchi,AIBauchi,100.0,PASSTHROUGH
AIGeeksGroup,AIGeeksGroup,100.0,PASSTHROUGH
AIGeniusInstitute,AIGeniusInstitute,100.0,PASSTHROUGH
AIR-hl,AIR-hl,100.0,PASSTHROUGH
AIRI-Institute,AIRI-Institute,100.0,PASSTHROUGH
AISCIENCES,AISCIENCES,100.0,PASSTHROUGH
AISaturdaysLagos,AISaturdaysLagos,100.0,PASSTHROUGH
AIScientists-Dev,AIScientists-Dev,100.0,PASSTHROUGH
AIVIETNAMResearch,AIVIETNAMResearch,100.0,PASSTHROUGH
ANG13T,ANG13T,100.0,PASSTHROUGH
AZ-AI,AZ-AI,100.0,PASSTHROUGH
AbanteAI,AbanteAI,100.0,PASSTHROUGH
Abilityai,Abilityai,100.0,PASSTHROUGH
AccelAI,AccelAI,100.0,PASSTHROUGH
Affitor,Affitor,100.0,PASSTHROUGH
Agent-Field,Agent-Field,100.0,PASSTHROUGH
AgentOps-AI,AgentOps-AI,100.0,PASSTHROUGH
AgentiLoop,AgentiLoop,100.0,PASSTHROUGH
AgnesAI-Labs,AgnesAI-Labs,100.0,PASSTHROUGH
Ahmet-Dedeler,Ahmet-Dedeler,100.0,PASSTHROUGH
Ai00-X,Ai00-X,100.0,PASSTHROUGH
AiArt-Gao,AiArt-Gao,100.0,PASSTHROUGH
Aider-AI,Aider-AI,100.0,PASSTHROUGH
AidpProject,AidpProject,100.0,PASSTHROUGH
AkagawaTsurunaki,AkagawaTsurunaki,100.0,PASSTHROUGH
Akyl-AI,Akyl-AI,100.0,PASSTHROUGH
Alchemyst-ai,Alchemyst-ai,100.0,PASSTHROUGH
AlignmentResearch,AlignmentResearch,100.0,PASSTHROUGH
Alisa0808,Alisa0808,100.0,PASSTHROUGH
All-About-AI-YouTube,All-About-AI-YouTube,100.0,PASSTHROUGH
All-Hands-AI,All-Hands-AI,100.0,PASSTHROUGH
AlphaAvatar,AlphaAvatar,100.0,PASSTHROUGH
AltimateAI,AltimateAI,100.0,PASSTHROUGH
AmbientAI,AmbientAI,100.0,PASSTHROUGH
AmbiqAI,AmbiqAI,100.0,PASSTHROUGH
AmeNetwork,AmeNetwork,100.0,PASSTHROUGH
Amm1rr,Amm1rr,100.0,PASSTHROUGH
Ammaar-Alam,Ammaar-Alam,100.0,PASSTHROUGH
AmpereComputingAI,AmpereComputingAI,100.0,PASSTHROUGH
Amrita-School-of-AI,Amrita-School-of-AI,100.0,PASSTHROUGH
AmyangXYZ,AmyangXYZ,100.0,PASSTHROUGH
Andrew-Jang,Andrew-Jang,100.0,PASSTHROUGH
Ansvar-Systems,Ansvar-Systems,100.0,PASSTHROUGH
AnswerDotAI,AnswerDotAI,100.0,PASSTHROUGH
Anthropic PBC,Anthropic,81.81818181818181,FUZZY_RESOLVED
ApexAI,ApexAI,100.0,PASSTHROUGH
Approaching-AI,Approaching-AI,100.0,PASSTHROUGH
Arindam200,Arindam200,100.0,PASSTHROUGH
Arize-ai,Arize-ai,100.0,PASSTHROUGH
Armur-Ai,Armur-Ai,100.0,PASSTHROUGH
AssemblyAI,AssemblyAI,100.0,PASSTHROUGH
AssemblyAI-Community,AssemblyAI-Community,100.0,PASSTHROUGH
AstrBotDevs,AstrBotDevs,100.0,PASSTHROUGH
AstroAI-CfA,AstroAI-CfA,100.0,PASSTHROUGH
AtomaAI,AtomaAI,100.0,PASSTHROUGH
Atome-FE,Atome-FE,100.0,PASSTHROUGH
AtomicBot-ai,AtomicBot-ai,100.0,PASSTHROUGH
AutoLLM,AutoLLM,100.0,PASSTHROUGH
AutodeskAILab,AutodeskAILab,100.0,PASSTHROUGH
AutomaticAI,AutomaticAI,100.0,PASSTHROUGH
Autoware-AI,Autoware-AI,100.0,PASSTHROUGH
AxisAIOrg,AxisAIOrg,100.0,PASSTHROUGH
AymurAI,AymurAI,100.0,PASSTHROUGH
AzatAI,AzatAI,100.0,PASSTHROUGH
Azure-Samples,Azure-Samples,100.0,PASSTHROUGH
BAAI-Agents,BAAI-Agents,100.0,PASSTHROUGH
BIT-DataLab,BIT-DataLab,100.0,PASSTHROUGH
BeirutAI,BeirutAI,100.0,PASSTHROUGH
Beneficial-AI-Foundation,Beneficial-AI-Foundation,100.0,PASSTHROUGH
BengaliAI,BengaliAI,100.0,PASSTHROUGH
BerriAI,BerriAI,100.0,PASSTHROUGH
BidingCC,BidingCC,100.0,PASSTHROUGH
Birmingham-AI,Birmingham-AI,100.0,PASSTHROUGH
BitMind-AI,BitMind-AI,100.0,PASSTHROUGH
Blarc,Blarc,100.0,PASSTHROUGH
BlockAi-Live,BlockAi-Live,100.0,PASSTHROUGH
BlockRunAI,BlockRunAI,100.0,PASSTHROUGH
BloopAI,BloopAI,100.0,PASSTHROUGH
BlueFalconHD,BlueFalconHD,100.0,PASSTHROUGH
BofAI,BofAI,100.0,PASSTHROUGH
BoltAI,BoltAI,100.0,PASSTHROUGH
Brain0-ai,Brain0-ai,100.0,PASSTHROUGH
BrainDAO,BrainDAO,100.0,PASSTHROUGH
Bria-AI,Bria-AI,100.0,PASSTHROUGH
Bricklabsai,Bricklabsai,100.0,PASSTHROUGH
BrightDotAi,BrightDotAi,100.0,PASSTHROUGH
Burmese-AI,Burmese-AI,100.0,PASSTHROUGH
CCI-Bonn,CCI-Bonn,100.0,PASSTHROUGH
CambioML,CambioML,100.0,PASSTHROUGH
Canner,Canner,100.0,PASSTHROUGH
