schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,AI Product Index,https://github.com/NousResearch/hermes-agent,NousResearch,FREE,2026-09-03T10:29:36.571398Z
1.0,PRODUCT,AI Product Index,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,PAID,2026-09-03T10:29:36.571443Z
1.0,PRODUCT,AI Product Index,https://github.com/firecrawl/firecrawl,firecrawl,FREE,2026-09-03T10:29:36.596947Z
1.0,PRODUCT,AI Product Index,https://github.com/f/prompts.chat,f,PAID,2026-09-03T10:29:36.597377Z
1.0,PRODUCT,AI Product Index,https://github.com/langgenius/dify,langgenius,PAID,2026-09-03T10:29:36.597399Z
1.0,PRODUCT,AI Product Index,https://github.com/open-webui/open-webui,open-webui,FREE,2026-09-03T10:29:36.597413Z
1.0,PRODUCT,AI Product Index,https://github.com/langchain-ai/langchain,langchain-ai,FREE,2026-09-03T10:29:36.597422Z
1.0,PRODUCT,AI Product Index,https://github.com/rasbt/LLMs-from-scratch,rasbt,FREE,2026-09-03T10:29:36.597431Z
1.0,PRODUCT,AI Product Index,https://github.com/JuliusBrussee/caveman,JuliusBrussee,FREE,2026-09-03T10:29:36.597809Z
1.0,PRODUCT,AI Product Index,https://github.com/bytedance/deer-flow,bytedance,FREE,2026-09-03T10:29:36.597828Z
1.0,PRODUCT,AI Product Index,https://github.com/unslothai/unsloth,unslothai,FREE,2026-09-03T10:29:36.597840Z
1.0,PRODUCT,AI Product Index,https://github.com/hiyouga/LlamaFactory,hiyouga,FREE,2026-09-03T10:29:36.597862Z
1.0,PRODUCT,AI Product Index,https://github.com/headroomlabs-ai/headroom,headroomlabs-ai,PAID,2026-09-03T10:29:36.597872Z
1.0,PRODUCT,AI Product Index,https://github.com/mem0ai/mem0,mem0ai,PAID,2026-09-03T10:29:36.597880Z
1.0,PRODUCT,AI Product Index,https://github.com/asgeirtj/system_prompts_leaks,asgeirtj,PAID,2026-09-03T10:29:36.597896Z
1.0,PRODUCT,AI Product Index,https://github.com/sansan0/TrendRadar,sansan0,FREE,2026-09-03T10:29:36.599064Z
1.0,PRODUCT,AI Product Index,https://github.com/MemPalace/mempalace,MemPalace,FREE,2026-09-03T10:29:36.599085Z
1.0,PRODUCT,AI Product Index,https://github.com/rohitg00/ai-engineering-from-scratch,rohitg00,FREE,2026-09-03T10:29:36.599109Z
1.0,PRODUCT,AI Product Index,https://github.com/mudler/LocalAI,mudler,FREE,2026-09-03T10:29:36.599123Z
1.0,PRODUCT,AI Product Index,https://github.com/jeecgboot/JeecgBoot,jeecgboot,FREE,2026-09-03T10:29:36.599138Z
1.0,PRODUCT,AI Product Index,https://github.com/zhayujie/CowAgent,zhayujie,FREE,2026-09-03T10:29:36.599149Z
1.0,PRODUCT,AI Product Index,https://github.com/langchain-ai/langgraph,langchain-ai,FREE,2026-09-03T10:29:36.599158Z
1.0,PRODUCT,AI Product Index,https://github.com/AstrBotDevs/AstrBot,AstrBotDevs,FREE,2026-09-03T10:29:36.599172Z
1.0,PRODUCT,AI Product Index,https://github.com/The-Vibe-Company/quivr,The-Vibe-Company,PAID,2026-09-03T10:29:36.599189Z
1.0,PRODUCT,AI Product Index,https://github.com/CopilotKit/CopilotKit,CopilotKit,PAID,2026-09-03T10:29:36.599199Z
1.0,PRODUCT,AI Product Index,https://github.com/khoj-ai/khoj,khoj-ai,FREE,2026-09-03T10:29:36.599243Z
1.0,PRODUCT,AI Product Index,https://github.com/reworkd/AgentGPT,reworkd,FREE,2026-09-03T10:29:36.599257Z
1.0,PRODUCT,AI Product Index,https://github.com/VectifyAI/PageIndex,VectifyAI,FREE,2026-09-03T10:29:36.599268Z
1.0,PRODUCT,AI Product Index,https://github.com/SillyTavern/SillyTavern,SillyTavern,FREE,2026-09-03T10:29:36.599277Z
1.0,PRODUCT,AI Product Index,https://github.com/iOfficeAI/AionUi,iOfficeAI,FREE,2026-09-03T10:29:36.599290Z
1.0,PRODUCT,AI Product Index,https://github.com/onyx-dot-app/onyx,onyx-dot-app,FREE,2026-09-03T10:29:36.599299Z
1.0,PRODUCT,AI Product Index,https://github.com/Zackriya-Solutions/meetily,Zackriya-Solutions,PAID,2026-09-03T10:29:36.599307Z
1.0,PRODUCT,AI Product Index,https://github.com/ComposioHQ/composio,ComposioHQ,FREE,2026-09-03T10:29:36.599328Z
1.0,PRODUCT,AI Product Index,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,PAID,2026-09-03T10:29:36.599337Z
1.0,PRODUCT,AI Product Index,https://github.com/NirDiamant/RAG_Techniques,NirDiamant,FREE,2026-09-03T10:29:36.599350Z
1.0,PRODUCT,AI Product Index,https://github.com/openai/openai-agents-python,openai,FREE,2026-09-03T10:29:36.599363Z
1.0,PRODUCT,AI Product Index,https://github.com/microsoft/semantic-kernel,microsoft,FREE,2026-09-03T10:29:36.599372Z
1.0,PRODUCT,AI Product Index,https://github.com/yamadashy/repomix,yamadashy,FREE,2026-09-03T10:29:36.599389Z
1.0,PRODUCT,AI Product Index,https://github.com/OtterMind/Chat2DB,OtterMind,FREE,2026-09-03T10:29:36.599401Z
1.0,PRODUCT,AI Product Index,https://github.com/mastra-ai/mastra,mastra-ai,FREE,2026-09-03T10:29:36.599420Z
1.0,PRODUCT,AI Product Index,https://github.com/QwenLM/qwen-code,QwenLM,FREE,2026-09-03T10:29:36.599431Z
1.0,PRODUCT,AI Product Index,https://github.com/Fosowl/agenticSeek,Fosowl,FREE,2026-09-03T10:29:36.599441Z
1.0,PRODUCT,AI Product Index,https://github.com/ahujasid/blender-mcp,ahujasid,FREE,2026-09-03T10:29:36.599449Z
1.0,PRODUCT,AI Product Index,https://github.com/deepset-ai/haystack,deepset-ai,PAID,2026-09-03T10:29:36.599457Z
1.0,PRODUCT,AI Product Index,https://github.com/letta-ai/letta,letta-ai,PAID,2026-09-03T10:29:36.599465Z
1.0,PRODUCT,AI Product Index,https://github.com/NirDiamant/GenAI_Agents,NirDiamant,FREE,2026-09-03T10:29:36.599475Z
1.0,PRODUCT,AI Product Index,https://github.com/vanna-ai/vanna,vanna-ai,FREE,2026-09-03T10:29:36.599487Z
1.0,PRODUCT,AI Product Index,https://github.com/sinaptik-ai/pandas-ai,sinaptik-ai,FREE,2026-09-03T10:29:36.599496Z
1.0,PRODUCT,AI Product Index,https://github.com/Skyvern-AI/skyvern,Skyvern-AI,FREE,2026-09-03T10:29:36.599505Z
1.0,PRODUCT,AI Product Index,https://github.com/huggingface/datasets,huggingface,FREE,2026-09-03T10:29:36.599526Z
1.0,PRODUCT,AI Product Index,https://github.com/google/adk-python,google,FREE,2026-09-03T10:29:36.599536Z
1.0,PRODUCT,AI Product Index,https://github.com/screenpipe/screenpipe,screenpipe,PAID,2026-09-03T10:29:36.599543Z
1.0,PRODUCT,AI Product Index,https://github.com/elder-plinius/L1B3RT4S,elder-plinius,PAID,2026-09-03T10:29:36.599918Z
1.0,PRODUCT,AI Product Index,https://github.com/Tencent/WeKnora,Tencent,FREE,2026-09-03T10:29:36.599939Z
1.0,PRODUCT,AI Product Index,https://github.com/SWE-agent/SWE-agent,SWE-agent,FREE,2026-09-03T10:29:36.599951Z
1.0,PRODUCT,AI Product Index,https://github.com/kortix-ai/suna,kortix-ai,FREE,2026-09-03T10:29:36.599960Z
1.0,PRODUCT,AI Product Index,https://github.com/liyupi/ai-guide,liyupi,PAID,2026-09-03T10:29:36.599975Z
1.0,PRODUCT,AI Product Index,https://github.com/datawhalechina/easy-vibe,datawhalechina,PAID,2026-09-03T10:29:36.599985Z
1.0,PRODUCT,AI Product Index,https://github.com/1jehuang/jcode,1jehuang,FREE,2026-09-03T10:29:36.600001Z
1.0,PRODUCT,AI Product Index,https://github.com/stas00/ml-engineering,stas00,FREE,2026-09-03T10:29:36.600009Z
1.0,PRODUCT,AI Product Index,https://github.com/meta-llama/llama-cookbook,meta-llama,PAID,2026-09-03T10:29:36.600017Z
1.0,PRODUCT,AI Product Index,https://github.com/arc53/DocsGPT,arc53,ENTERPRISE,2026-09-03T10:29:36.600024Z
1.0,PRODUCT,AI Product Index,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,FREE,2026-09-03T10:29:36.600037Z
1.0,PRODUCT,AI Product Index,https://github.com/rowboatlabs/rowboat,rowboatlabs,FREE,2026-09-03T10:29:36.600046Z
1.0,PRODUCT,AI Product Index,https://github.com/kubesphere/kubesphere,kubesphere,FREEMIUM,2026-09-03T10:29:36.600057Z
1.0,PRODUCT,AI Product Index,https://github.com/memvid/memvid,memvid,FREE,2026-09-03T10:29:36.600068Z
1.0,PRODUCT,AI Product Index,https://github.com/MemoriLabs/Memori,MemoriLabs,ENTERPRISE,2026-09-03T10:29:36.600076Z
1.0,PRODUCT,AI Product Index,https://github.com/googleapis/mcp-toolbox,googleapis,FREE,2026-09-03T10:29:36.600084Z
1.0,PRODUCT,AI Product Index,https://github.com/xbtlin/ai-berkshire,xbtlin,FREE,2026-09-03T10:29:36.600097Z
1.0,PRODUCT,AI Product Index,https://github.com/plandex-ai/plandex,plandex-ai,PAID,2026-09-03T10:29:36.600104Z
1.0,PRODUCT,AI Product Index,https://github.com/HBAI-Ltd/Toonflow-app,HBAI-Ltd,FREE,2026-09-03T10:29:36.600121Z
1.0,PRODUCT,AI Product Index,https://github.com/jujumilk3/leaked-system-prompts,jujumilk3,PAID,2026-09-03T10:29:36.600128Z
1.0,PRODUCT,AI Product Index,https://github.com/botpress/botpress,botpress,FREE,2026-09-03T10:29:36.600141Z
1.0,PRODUCT,AI Product Index,https://github.com/walkinglabs/learn-harness-engineering,walkinglabs,FREE,2026-09-03T10:29:36.600150Z
1.0,PRODUCT,AI Product Index,https://github.com/microsoft/RD-Agent,microsoft,PAID,2026-09-03T10:29:36.600164Z
1.0,PRODUCT,AI Product Index,https://github.com/NanmiCoder/cc-haha,NanmiCoder,FREE,2026-09-03T10:29:36.600174Z
1.0,PRODUCT,AI Product Index,https://github.com/fathah/hermes-desktop,fathah,FREE,2026-09-03T10:29:36.600183Z
1.0,PRODUCT,AI Product Index,https://github.com/CoplayDev/unity-mcp,CoplayDev,FREE,2026-09-03T10:29:36.600197Z
1.0,PRODUCT,AI Product Index,https://github.com/opencode-ai/opencode,opencode-ai,FREE,2026-09-03T10:29:36.600206Z
1.0,PRODUCT,AI Product Index,https://github.com/e2b-dev/E2B,e2b-dev,ENTERPRISE,2026-09-03T10:29:36.600212Z
1.0,PRODUCT,AI Product Index,https://github.com/Lightning-AI/litgpt,Lightning-AI,FREE,2026-09-03T10:29:36.600222Z
1.0,PRODUCT,AI Product Index,https://github.com/Open-LLM-VTuber/Open-LLM-VTuber,Open-LLM-VTuber,FREE,2026-09-03T10:29:36.600231Z
1.0,PRODUCT,AI Product Index,https://github.com/Arindam200/awesome-ai-apps,Arindam200,PAID,2026-09-03T10:29:36.600239Z
1.0,PRODUCT,AI Product Index,https://github.com/neuml/txtai,neuml,FREE,2026-09-03T10:29:36.600250Z
1.0,PRODUCT,AI Product Index,https://github.com/cocktailpeanut/dalai,cocktailpeanut,FREE,2026-09-03T10:29:36.600258Z
1.0,PRODUCT,AI Product Index,https://github.com/StarTrail-org/LEANN,StarTrail-org,FREE,2026-09-03T10:29:36.600268Z
